"en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb"
"Reported as spam, contents that contains text that might consider used as spam","Gerapporteerd als spam, de inhoud die tekst bevat die zou kunnen overwegen als spam","Reportado como spam, contenidos que contiene texto que podría considerar utilizado como spam","报告为垃圾邮件，包含文本内容可能会考虑用作垃圾邮件","Als Spam gemeldet, die Inhalte, die Text enthält, die als Spam betrachten könnte verwendet","Signalé comme spam, contenus qui contient du texte qui pourrait envisager utilisé comme spam","Segnalato come spam, contenuti che contiene il testo che potrebbe prendere in considerazione utilizzato come spam","Relatado como spam, conteúdos que contém texto que pode considerar usado como spam","Αναφέρθηκαν ως spam, περιεχόμενο που περιέχει κείμενο που μπορεί να θεωρούν χρησιμοποιείται ως spam","Zgłoszone jako spam, treści, które zawiera tekst, że może rozważyć stosowany jako spam","Rapporteret som spam, indhold, der indeholder tekst, der kan overveje brugt som spam","Raportoitu roskapostiksi, sisältö, joka sisältää tekstiä, joka voisi harkita käyttää roskapostiksi","Rapportert som spam, innholdet som inneholder tekst som kan vurdere brukt som spam","وذكرت أنها غير مرغوب فيها، محتويات الذي يحتوي على النص التي قد تفكر في استخدامها كدعاية","스팸 메일, 텍스트가 포함 된 내용으로보고 스팸으로 사용을 고려 생각하고","スパム、スパムとして使用を検討するかもしれないテキストを含むコンテンツとして報告","דווח כדואר זבל, תוכן שמכיל טקסט שעשוי לשקול להשתמש כדואר זבל","Rapporteras som spam, innehåll som innehåller text som kan överväga som skräppost","Nahlášen jako spam obsahu, který obsahuje text, který by mohl zvážit používá jako spam","Отмечена как спам, содержание, что содержит текст, который могли бы рассмотреть использовать в качестве спама","Naiulat na spam, nilalaman na naglalaman ng teksto na maaaring isaalang-alang ang ginamit bilang spam","Panghimatuod nga ingon sa Spam, sulod nga naglangkob sa teksto nga unta ikonsiderar ang gigamit ingon nga Spam"
"Reported as stupidity, contains contents that might consider as stupid","Gerapporteerd als domheid, bevat de inhoud die zo dom zou kunnen overwegen","Informado que la estupidez, contiene contenidos que puedan considerar como estúpida","报告为愚蠢，包含可能认为是愚蠢的内容","Berichtet, wie Dummheit, enthält Inhalte, die als dumm betrachten könnte","Rapporté que la bêtise, contient des contenus qui pourraient envisager aussi stupide","Segnalato come stupidità, contiene i contenuti che potrebbero considerare come stupido","Relatado como estupidez, contém conteúdos que possam considerar como estúpido","Αναφέρθηκαν ως βλακεία, περιέχει περιεχόμενο που θα μπορούσε να εξετάσει ως ηλίθιο","Zgłoszone jako głupotę, zawiera treści, które mogą uznać za głupie","Rapporteret som dumhed, indeholder indhold, der kan overveje så dum","Raportoitu kuin tyhmyys, sisältää sisällöt, jotka saattavat harkita niin tyhmä","Rapportert som dumhet, inneholder innhold som kan vurdere så dum","كما ذكرت الغباء، ويحتوي على المحتويات التي قد تنظر غبي كما","어리 석음으로보고, 같은 바보 고려해 볼 수 있습니다 내용을 포함","愚かとして報告、など愚か検討するかもしれない内容が含まれています","כפי שדווח טיפשות, מכיל תוכן שעלול לשקול כמו טיפש","Rapporteras som dumhet, innehåller innehåll som kan tänka så dum","Označena jako hloupost, obsahuje obsah, který by mohl zvážit, jak hloupý","Сообщается также глупости, содержит содержимое, которое может считать глупым","Naiulat bilang katangahan, ay naglalaman ng mga nilalaman na maaaring isaalang-alang bilang ugok","Panghimatuod nga ingon sa stupidity, naglangkob sulod nga tingali giisip sa ingon nga hungog"
"Reported as trolling","Gerapporteerd als trollen","Informado de arrastre","报道曳","Berichtet als Trolling","Rapporté que la traîne","Segnalato come trolling","Relatado como corrico","Αναφέρθηκαν ως συρτή","Zgłoszone jako trolling","Rapporteret som trolling","Ilmoitettu vetouistelu","Rapportert som trolling","الإبلاغ عن التصيد","건지 러로보고","トローリングとして報告","כפי שדווח trolling","Rapporteras som trolling","Hlášeny jako trolling","Сообщается также троллинга","Naiulat bilang trolling","Gisumbong nga ingon sa trolling"
"Reported type, report has different options to choose from","Gemeld type rapport heeft verschillende opties om uit te kiezen","Informaron tipo, el informe tiene diferentes opciones para elegir","报告类型，报告有不同的选项可供选择","Berichtet Art, Bericht hat verschiedene Optionen zur Auswahl","Type signalé, le rapport a différentes options à choisir","tipo riferito, la relazione ha diverse opzioni tra cui scegliere","Relatado tipo, o relatório tem diferentes opções para escolher","Αναφέρθηκαν τύπου, η έκθεση έχει διαφορετικές επιλογές για να διαλέξετε","Zgłoszone rodzaj, raport ma różne opcje do wyboru","Rapporteret type, rapport har forskellige muligheder at vælge imellem","Raportoitu tyyppi, raportissa on eri vaihtoehtoja","Rapportert typen, har rapporten ulike alternativer å velge mellom","ذكرت نوع، ويتضمن تقرير خيارات مختلفة للاختيار من بينها","형보고, 보고서는 선택할 수있는 다양한 옵션이 있습니다","タイプを報告し、報告書の中から選択するさまざまなオプションを持っています","דיווחה סוג, דוח אפשרויות שונות לבחירה","Rapporterade typ, har rapport olika alternativ att välja mellan","Hlášeno typu, zpráva má různé možnosti na výběr","Сообщается тип, отчет имеет различные варианты, чтобы выбрать из","Naiulat type, ulat ay may iba't ibang mga pagpipilian upang pumili mula sa","Gisumbong matang, report adunay lain-laing mga opsyon sa pagpili gikan sa"
"Requires a file type of input","Hiervoor is een bestandstype van de input","Requiere un tipo de archivo de entrada","需要输入的文件类型","Erfordert einen Dateityp des Eingangs","Nécessite un type de fichier d'entrée","Richiede un tipo di file di ingresso","Requer um tipo de entrada de arquivo","Απαιτεί έναν τύπο αρχείου εισόδου","Wymagany typ pliku wejściowego","Kræver en filtype for input","Vaatii tiedostotyyppi panos","Krever en filtype innspill","يتطلب نوع الملف من المدخلات","입력 파일 형식이 필요","入力のファイルタイプが必要です","דורש סוג קובץ של קלט","Kräver en fil typ av ingång","Vyžaduje typ souboru vstupu","Требуется тип файла ввода","Ay nangangailangan ng isang uri ng file ng input","Nagkinahanglan sa usa ka matang file sa input"
"Returns a permanent redirect status (CurrentCallInfo* cci, 301), indicating that the resource has moved permanently","Geeft een permanente redirect-status (CurrentCallInfo * CCI 301), wat aangeeft dat de bron definitief is verplaatst","Devuelve un estado de redirección permanente (CurrentCallInfo * cci, 301), lo que indica que el recurso se ha movido permanentemente","返回一个永久性重定向状态（CurrentCallInfo * CCI，301），表明资源已经被永久移动","Gibt eine dauerhafte Umleitung Status (CurrentCallInfo * cci, 301), was darauf hinweist, dass die Ressource dauerhaft verschoben wurde","Renvoie un statut de redirection permanente (CurrentCallInfo * cci, 301), ce qui indique que la ressource a été déplacée de façon permanente","Restituisce lo stato di reindirizzamento permanente (CurrentCallInfo * cci, 301), che indica che la risorsa è spostato in modo permanente","Retorna um status de redirecionamento permanente (CurrentCallInfo * cci, 301), indicando que o recurso foi movido permanentemente","Επιστρέφει μια κατάσταση μόνιμη ανακατεύθυνση (CurrentCallInfo * ΚΠΕ, 301), που δείχνει ότι ο πόρος έχει μετακινηθεί μόνιμα","Zwraca stan trwały przekierowania (CurrentCallInfo * CCI, 301), wskazując, że zasób został przeniesiony na stałe","Returnerer en permanent omdirigering status (CurrentCallInfo * CCI, 301), hvilket indikerer, at ressourcen er flyttet permanent","Palauttaa pysyvää uudelleenohjausta tila (CurrentCallInfo * CCI, 301), mikä osoittaa, että resurssi on siirretty pysyvästi","Returnerer en permanent redirect status (CurrentCallInfo * CCI, 301), noe som indikerer at ressursen har flyttet permanent","بإرجاع حالة إعادة توجيه دائمة (CurrentCallInfo * CCI، 301)، مشيرا إلى أن المورد قد تم نقله نهائيا","자원을 완전히 옮겼 음을 뜻하는 영구 리다이렉션 상태를 (CurrentCallInfo * CCI, 301)를 반환","リソースが恒久的に移動したことを示す、恒久的なリダイレクトステータス（CurrentCallInfo * cciは、301）を返します","מחזיר סטטוס הפניה קבועה (CurrentCallInfo * CCI, 301), המציין כי המשאב הוסר לצמיתות","Returnerar en permanent omdirigering status (CurrentCallInfo * CCI, 301), vilket indikerar att resursen har flyttat permanent","Vrací stav trvalé přesměrování (CurrentCallInfo * CCI, 301), což naznačuje, že zdroj se natrvalo přestěhoval","Возвращает статус постоянного перенаправления (CurrentCallInfo * CCI, 301), что указывает, что ресурс переехал на постоянное жительство","Returns isang permanenteng pag-redirect status (CurrentCallInfo * CCI, 301), na nagpapahiwatig na ang mga mapagkukunan ay inilipat permanente","Mibalik sa usa ka permanente nga redirect status (CurrentCallInfo * cci, 301), nga nagpakita nga ang kapanguhaan nga mibalhin permanente"
"Returns a temporary redirect status (CurrentCallInfo* cci, 302)","Geeft een tijdelijke redirect-status (CurrentCallInfo * CCI 302)","Devuelve un estado de redirección temporal (CurrentCallInfo * cci, 302)","返回一个临时性重定向状态（CurrentCallInfo * CCI，302）","Gibt eine temporäre Umleitung Status (CurrentCallInfo * cci, 302)","Renvoie un statut de redirection temporaire (CurrentCallInfo * cci, 302)","Restituisce lo stato di reindirizzamento temporaneo (CurrentCallInfo * cci, 302)","Retorna um status de redirecionamento temporário (CurrentCallInfo * cci, 302)","Επιστρέφει μια κατάσταση προσωρινή ανακατεύθυνση (CurrentCallInfo * ΚΠΕ, 302)","Zwraca stan tymczasowy przekierowania (CurrentCallInfo * CCI, 302)","Returnerer en midlertidig omdirigering status (CurrentCallInfo * CCI, 302)","Palauttaa väliaikainen uudelleenohjaus tila (CurrentCallInfo * CCI, 302)","Returnerer en midlertidig redirect status (CurrentCallInfo * CCI, 302)","بإرجاع حالة إعادة توجيه مؤقت (CurrentCallInfo * CCI، 302)","임시 리디렉션 상태를 돌려줍니다 (CurrentCallInfo * CCI, 302)","一時的なリダイレクトの状態を返します（CurrentCallInfo * CCI、302）","מחזיר סטטוס הפניה זמנית (CurrentCallInfo * CCI, 302)","Returnerar en tillfällig omdirigering status (CurrentCallInfo * CCI, 302)","Vrací status dočasné přesměrování (CurrentCallInfo * CCI, 302)","Возвращает статус временного перенаправления (CurrentCallInfo * CCI, 302)","Ibinabalik ng isang pansamantalang pag-redirect status (CurrentCallInfo * CCI, 302)","Mibalik sa usa ka temporaryo nga redirect status (CurrentCallInfo * cci, 302)"
"returns entries containing a word that starts with the entered keyword","retourneert inzendingen met een woord dat begint met het ingevoerde trefwoord","devuelve entradas que contengan una palabra que comienza con la palabra clave introducida","返回一个包含与输入的关键字开头的词项","Einträge zurück ein Wort enthält, das mit dem eingegebenen Suchbegriff beginnt","retourne entrées contenant un mot qui commence par le mot-clé entré","restituisce le voci che contengono una parola che inizia con la parola chiave inserita","retorna entradas contendo uma palavra que começa com a palavra-chave digitada","επιστρέφει εγγραφές που περιέχουν μια λέξη που αρχίζει με το καταχωρημένο λέξη-κλειδί","zwraca wpisy zawierające słowo, które zaczyna się od wprowadzonego hasła","returnerer indgange, der indeholder et ord, der begynder med det indtastede søgeord","palauttaa nimikettä, jotka sisältävät sanan, joka alkaa tuli avainsanan","returnerer oppføringer som inneholder et ord som begynner med den angitte søkeord","يعود مقالات تحتوي على الكلمة التي تبدأ مع الكلمة دخلت","입력 된 키워드로 시작하는 단어를 포함하는 항목을 반환","入力されたキーワードで始まる単語を含むエントリを返します。","מחזירה רשומה המכיל מילה שמתחילה עם מילת המפתח שהוזן","returnerar poster som innehåller ett ord som börjar med den angivna sökord","vrací záznamy, které obsahují slovo, které začíná zadaným klíčovým slovem","возвращает записи, содержащие слово, которое начинается с введенного ключевого слова","nagbabalik entries na naglalaman ng isang salita na nagsisimula sa ang ipinasok na keyword","mobalik entries nga naglangkob sa usa ka pulong nga magsugod uban sa mga misulod sa keyword"
"returns entries containing the entered keyword","retourneert inzendingen met het ingevoerde trefwoord","devuelve entradas que contengan la palabra clave introducida","返回包含输入的关键字条目","kehrt Einträge der eingegebene Suchbegriff enthalten,","retourne les entrées contenant le mot-clé entré","restituisce le voci che contengono la parola chiave immessa","retorna as entradas que contenham a palavra-chave digitada","επιστρέφει εγγραφές που περιέχει το εισήλθε λέξη-κλειδί","zwraca wpisy zawierające wprowadzone słowa kluczowego","returnerer indgange, der indeholder den indtastede emneord","palauttaa nimikettä, jotka sisältävät syötetty hakusana","returnerer oppføringer som inneholder den angitte søkeord","يعود إدخالات التي تحتوي على الكلمة دخلت","입력 된 키워드를 포함하는 항목을 반환","入力されたキーワードを含むエントリを返します。","מחזיר ערכים המכילים את מילת המפתח נכנס","returnerar poster som innehåller det angivna nyckelordet","vrací záznamy, které obsahují zadaný klíčové slovo","возвращает записи, содержащие введенную ключевое слово","nagbabalik entries na naglalaman ng mga keyword na ipinasok","mobalik entries nga naglangkob sa misulod keyword"
"select this if you want the layered attribute options to be presented in checkboxes","Selecteer deze optie als u wilt dat de gelaagde attribuut opties worden gepresenteerd in vakjes","seleccione esta opción si desea que las opciones de atributos de capas que se presentan en casillas","如果你想层状属性选项中的复选框提交该选择","Wählen Sie diese Option, wenn Sie die geschichteten Attribut Optionen wollen in Checkboxen dargestellt werden","sélectionnez cette option si vous voulez que les options d'attributs couches qui seront présentées dans les cases","selezionare questa opzione se si desidera che le opzioni degli attributi più livelli per essere presentati in caselle","selecione se você deseja que as opções de atributo em camadas que será apresentado em caixas","Επιλέξτε αυτό αν θέλετε οι στρώσεις επιλογές χαρακτηριστικό για να παρουσιαστεί σε πλαίσια ελέγχου","wybierz tę opcję, jeśli chcesz warstwowe opcje atrybutów, które zostaną przedstawione w wyboru","Vælg dette hvis du ønsker de lagdelte muligheder attribut der skal fremlægges i afkrydsningsfelter","Valitse tämä jos haluat kerrostetun määrite vaihtoehtoja esitetään valintaruudut","Velg dette hvis du vil at lagdelte attributt alternativer for å bli presentert i avmerkingsboksene","حدد هذا إذا كنت تريد الخيارات السمة الطبقات التي ستقدم في خانات","당신은 레이어 속성 옵션이 체크 박스에 표시되도록하려면이 옵션을 선택","あなたは、層状属性オプションがチェックボックスで提示されるようにしたい場合は、これを選択します","בחרו באפשרות זו אם ברצונכם שאפשרויות התכונה השכבתי יוצג תיבות","Välj detta om du vill att skiktade attribut alternativ som ska presenteras i kryssrutor","zvolit tuto možnost, pokud chcete, aby vrstvené možnosti atributů, které mají být předloženy do políček","выбрать, если вы хотите слоистые варианты атрибутов, которые будут представлены в флажков","piliin ito kung nais mong ang layered pagpipilian attribute upang iharap sa mga checkbox","pagpili niini kon gusto ninyo nga ang hut-ong nga mga kapilian nga hiyas nga gipresentar sa checkboxes"
"select this if you want the layered attribute options to display in a form of links","Selecteer deze optie als u wilt dat de gelaagde attribuut opties om weer te geven in de vorm van koppelingen","seleccione esta opción si desea que las opciones de atributos de capas para mostrar en una forma de enlaces","如果你想层状属性选项以链接形式显示选择此","Wählen Sie diese Option, wenn Sie die geschichteten Attribut Optionen wollen in einer Form von Links angezeigt werden","sélectionnez cette option si vous voulez que les options d'attributs couches à afficher dans une forme de liens","selezionare questa opzione se si desidera che le opzioni di attributo a strati per visualizzare in una forma di link","selecione se você deseja que as opções de atributo em camadas para exibir em uma forma de links","Επιλέξτε αυτό αν θέλετε οι στρώσεις επιλογές χαρακτηριστικό για να εμφανιστεί σε μια μορφή συνδέσμων","wybierz tę opcję, jeśli chcesz warstwowe opcje atrybutów do wyświetlania w formie linków","Vælg dette hvis du ønsker de lagdelte muligheder attribut skal vises i en form af links","Valitse tämä jos haluat kerrostetun määrite mahdollisuuksiin näyttää muodossa linkkejä","Velg dette hvis du vil at lagdelte attributt alternativene som skal vises i en form av linker","حدد هذا إذا كنت تريد الخيارات السمة الطبقات لعرض في شكل روابط","당신은 레이어 속성 옵션은 링크의 형태로 표시하려면이 옵션을 선택","あなたは、層状属性オプションはリンクの形で表示したい場合は、これを選択します","בחרו באפשרות זו אם ברצונכם שאפשרויות התכונה השכבתי להציג בצורה של קישורים","Välj detta om du vill att skiktade attribut alternativ för att visa i form av länkar","zvolit tuto možnost, pokud chcete, aby vrstvené možnosti atributů pro zobrazení v podobě odkazů","выбрать, если вы хотите слоистые варианты атрибутов для отображения в виде ссылок","piliin ito kung nais mong ang layered pagpipilian attribute upang ipakita sa isang anyo ng mga link","pagpili niini kon gusto ninyo nga ang hut-ong nga mga kapilian sa hiyas sa pagpasundayag sa usa ka matang sa mga links"
"select this if you want the layered attribute options to display in radio buttons","Selecteer deze optie als u wilt dat de gelaagde attribuut opties om te laten zien in de radio-buttons","seleccione esta opción si desea que las opciones de atributos de capas para mostrar en los botones de radio","如果你想层状属性选项在单选按钮显示选择此","Wählen Sie diese Option, wenn Sie die geschichteten Attribut Optionen wollen in Radio-Buttons angezeigt werden","sélectionnez cette option si vous voulez que les options d'attributs couches à afficher dans les boutons radio","selezionare questa opzione se si desidera che le opzioni di attributo a strati per visualizzare in pulsanti di opzione","selecione se você deseja que as opções de atributo em camadas para exibir em botões de rádio","Επιλέξτε αυτό αν θέλετε οι στρώσεις επιλογές χαρακτηριστικό για να εμφανιστεί σε κουμπιά επιλογής","wybierz tę opcję, jeśli chcesz warstwowe opcje atrybutów do wyświetlenia w przyciski radiowe","Vælg dette hvis du ønsker de lagdelte muligheder attribut skal vises i radioknapper","Valitse tämä jos haluat kerrostetun määrite mahdollisuuksiin näyttää radio napit","Velg dette hvis du vil at lagdelte attributt alternativene som skal vises i radioknapper","حدد هذا إذا كنت تريد الخيارات السمة الطبقات لعرض في أزرار الراديو","당신은 레이어 속성 옵션이 라디오 버튼에 표시 할 경우이 옵션을 선택","あなたは、層状属性オプションは、ラジオボタンで表示したい場合は、これを選択します","בחרו באפשרות זו אם ברצונכם שאפשרויות התכונה השכבתי להציג לחצני בחירה","Välj detta om du vill att skiktade attributalternativ som ska visas i alternativknappar","zvolit tuto možnost, pokud chcete, aby vrstvené možnosti atributů se zobrazí v přepínači","выбрать, если вы хотите слоистые варианты атрибутов для отображения в переключателей","piliin ito kung nais mong ang layered pagpipilian attribute upang ipakita sa mga radio button","pagpili niini kon gusto ninyo nga ang hut-ong nga mga kapilian sa hiyas sa pagpasundayag sa sa buton sa radyo"
"select this to display the layered attribute in a form of images with the corresponding text color","Selecteer dit om de gelaagde attribuut in de vorm van beelden weer te geven met de bijbehorende tekstkleur","seleccione esta opción para mostrar el atributo en capas en una forma de imágenes con el color del texto correspondiente","选择此配合相应文字的颜色来显示图像中的一种形式，分层属性","Wählen Sie diese Option die geschichtete Attribut in einer Form von Bildern mit der entsprechenden Textfarbe angezeigt","sélectionnez cette option pour afficher l'attribut en couches dans une forme d'images avec la couleur du texte correspondant","selezionare questo per visualizzare l'attributo strati in una forma di immagini con il colore di testo corrispondente","Seleccione para apresentar o atributo mergulhado em uma forma de imagens com a cor do texto correspondente","επιλέξτε αυτό για να εμφανιστεί η πολυεπίπεδη χαρακτηριστικό σε μορφή εικόνων με το αντίστοιχο χρώμα κειμένου","wybranie tej opcji powoduje wyświetlenie warstwowy atrybut w postaci obrazów z odpowiednim kolorem tekstu","Vælg dette for at vise den lagdelte attribut i en form af billeder med den tilsvarende tekst farve","Valitse tämä näyttää kerroksellinen attribuutti muodossa kuvien vastaavaan tekstin väri","Velg dette for å vise lagdelte attributt i en form av bilder med tilsvarende tekstfarge","حدد هذا الخيار لعرض السمة الطبقات في شكل صور مع لون نص المقابلة","해당 텍스트 컬러 이미지의 형태로 적층 특성을 표시하도록이 선택","対応するテキストの色と画像の形式で階層属性を表示するには、これを選択します","בחר באפשרות זו כדי להציג את תכונת שכבות בצורה של תמונות עם צבע הטקסט המתאים","Välj denna för att visa det skiktade attribut i form av bilder med motsvarande textfärg","zvolte tuto možnost pro zobrazení vrstvené atribut v podobě obrazů s odpovídající barvou textu","выберите для отображения слоистой атрибут в виде изображений с соответствующим цветом текста","piliin ang upang ipakita ang layered attribute sa isang form ng mga imahe na may kulay kaukulang text","pagpili niini sa pagpasundayag sa hut-ong nga hiyas sa usa ka matang sa mga larawan sa mga kolor katugbang nga teksto"
"select this to display the layered attribute options in a form of colors with the corresponding text color","Selecteer dit om de gelaagde attribuut opties in de vorm van kleuren weer te geven met de bijbehorende tekstkleur","seleccione esta opción para mostrar las opciones de atributo en capas en una forma de colores con el color del texto correspondiente","选择此配合相应文字的颜色来显示颜色形式分层属性选项","Wählen Sie diese Schicht Attribut Optionen in Form von Farben mit der entsprechenden Textfarbe angezeigt","sélectionnez cette option pour afficher les options d'attributs en couches dans une forme de couleurs avec la couleur du texte correspondant","selezionare questa opzione per visualizzare le opzioni di attributo a strati in una forma di colori con il colore di testo corrispondente","seleccione esta opção para exibir as opções de atributos de camadas em uma forma de cores com a cor do texto correspondente","επιλέξτε το για να εμφανίσετε τις στρώσεις επιλογές χαρακτηριστικό σε μια μορφή των χρωμάτων με το αντίστοιχο χρώμα κειμένου","wybranie tej opcji powoduje wyświetlenie opcji warstwowe atrybutów w postaci kolorów z odpowiednim kolorem tekstu","Vælg dette for at vise de lagdelte muligheder attribut i en form for farver med den tilsvarende tekst farve","Valitse tämä näyttää kerroksellinen määrite vaihtoehtoja muodossa värejä vastaavan tekstin väri","Velg dette for å vise lagdelte attributt alternativer i form av farger med tilsvarende tekstfarge","حدد هذا الخيار لعرض خيارات السمة الطبقات في شكل من الألوان مع لون نص المقابلة","해당 글자 색과 색의 형태로 적층 속성 옵션을 표시하기 위해이를 선택","対応するテキストの色と色の形で階層属性オプションを表示するには、これを選択します","בחר באפשרות זו כדי להציג את אפשרויות תכונה השכבתית בצורה של צבעים עם צבע הטקסט המתאים","Välj denna för att visa de skiktade attributalternativ i form av färger med motsvarande textfärg","zvolte tuto možnost pro zobrazení vrstvené možnosti atributů ve formě barev s odpovídající barvou textu","выберите для отображения слоистые варианты атрибутов в виде цветов с соответствующим цветом текста","piliin ang upang ipakita ang layered pagpipilian attribute sa isang anyo ng kulay na may kulay kaukulang text","pagpili niini sa pagpasundayag sa hut-ong mga kapilian sa hiyas sa usa ka matang sa mga kolor sa mga kolor katugbang nga teksto"
"Select to whom you want to send this task back","Selecteer aan wie u wilt deze taak terug te sturen","Seleccione a quien desea enviar esta tarea de nuevo","选择您要将此任务发回的人","Wählen Sie, wem Sie diese Aufgabe wollen zurück zu senden","Sélectionnez à qui vous voulez envoyer cette tâche en arrière","Selezionare a cui si desidera inviare questo compito indietro","Selecione a quem você deseja enviar esta tarefa de volta","Επιλέξτε σε ποιον θέλετε να στείλετε αυτό το έργο πίσω","Wybierz do kogo chcesz wysłać tę czynność powrotem","Vælg, hvem du vil sende denne opgave tilbage","Valitse kenelle haluat lähettää tämän tehtävän takaisin","Velg hvem du vil sende denne oppgaven tilbake","اختر الذي تريد أن ترسل هذه المهمة إلى الوراء","다시이 작업을 보내려면 누구에게 선택","あなたが戻って、このタスクの送信先に選択します","בחר למי אתה רוצה לשלוח משימה זו חזרה","Välj vem du vill skicka denna uppgift tillbaka","Vyberte, na kterou chcete odeslat tuto úlohu zpět","Выберите, кому вы хотите отправить эту задачу назад","Piliin kung kanino gusto mong ipadala ang gawaing ito pabalik","Pagpili sa nga imong gusto nga ipadala niini nga buluhaton balik"
"Send only newsletters for male of demale subscribers","Verstuur alleen nieuwsbrieven voor mannelijke van demale abonnees","Enviar boletines de noticias sólo para el varón de abonados demale","仅发送简讯的demale用户男性","Senden nur Newsletter für Männchen von demale Abonnenten","Envoyer seulement des bulletins pour les hommes d'abonnés demale","Invia solo i bollettini per i maschi di abbonati demale","Enviar apenas boletins para o sexo masculino de assinantes demale","Αποστολή μόνο ενημερωτικά δελτία για τα αρσενικά της demale συνδρομητές","Wyślij tylko biuletyny dla samca demale abonentów","Send kun nyhedsbreve for mandlige af demale abonnenter","Lähetä vain uutiskirjeitä uros demale tilaajien","Send bare nyhetsbrev for mannlige av demale abonnenter","إرسال الرسائل الإخبارية الوحيدة للذكور المشتركين demale","demale 가입자의 남성 만 뉴스 레터를 보내기","demale加入者の男性のための唯一のニュースレターを送ります","שלח עלונים רק עבור גברים מנויים demale","Skicka bara nyhetsbrev för manliga av demale abonnenter","Zaslat pouze zpravodaje pro samce demale předplatitelů","Отправить только бюллетени для самца demale абонентов","Magpadala lamang ng mga newsletter para sa male ng demale subscribers","Ipadala lamang Newsletter alang sa mga lalaki sa demale subscribers"
"Send only newsletters to people that has a birthday today","Stuur alleen nieuwsbrieven aan mensen die vandaag de dag een verjaardag heeft","Sólo envíe boletines de noticias para la gente que tiene un cumpleaños hoy","仅发送简讯给今天过生日的人","Senden nur Newsletter an Menschen, die einen Geburtstag hat heute","Envoyer seulement des bulletins pour les personnes qui a un anniversaire aujourd'hui","Inviare solo newsletter alla gente che ha un compleanno oggi","Enviar apenas boletins para as pessoas que tem um aniversário hoje","Αποστολή μόνο ενημερωτικά δελτία για τους ανθρώπους που έχει γενέθλια σήμερα","Wyślij tylko biuletyny ludziom, że ma dziś urodziny","Send kun nyhedsbreve til folk, der har fødselsdag i dag","Lähetä vain tiedotteita ihmisille, että on syntymäpäivä tänään","Send kun nyhetsbrev til folk som har bursdag i dag","إرسال الرسائل الإخبارية الوحيدة للناس أن لديه عيد ميلاد اليوم","오늘 생일이 사람들에게만 뉴스 레터를 보내","今日の誕生日を持っている人にだけニュースレターを送ります","שלח עלונים רק לאנשים שיש לו יום הולדת היום","Skicka bara nyhetsbrev till personer som har en födelsedag i dag","Zaslat pouze zpravodaje lidem, že má dnes narozeniny","Отправить только бюллетени для людей, которые сегодня день рождения","Magpadala lamang ng mga newsletter sa mga tao na ay may kaarawan ngayon","Ipadala lamang Newsletter ngadto sa mga tawo nga adunay usa ka adlaw nga natawhan karong adlawa"
"Send only newsletters to people who did not receive any newsletters","Alleen verzenden van nieuwsbrieven naar mensen die geen nieuwsbrieven hebben ontvangen","Sólo envíe boletines de noticias a las personas que no recibieron ningún boletines","仅发送通讯，谁没有收到任何人通讯","Senden nur Newsletter für Menschen, die keine Rundschreiben nicht erhalten haben","Envoyer seulement des bulletins pour les personnes qui ne reçoivent pas de bulletins","Inviare solo newsletter a persone che non hanno ricevuto alcun newsletter","Enviar apenas boletins para as pessoas que não receberam quaisquer boletins","Αποστολή μόνο ενημερωτικά δελτία για τους ανθρώπους που δεν έλαβε καμία ενημερωτικά δελτία","Wyślij tylko biuletyny do ludzi, którzy nie otrzymywali żadnych newsletterów","Send kun nyhedsbreve til folk, der ikke modtager nogen nyhedsbreve","Lähetä vain tiedotteita ihmisille, jotka eivät saaneet mitään tiedotteita","Send kun nyhetsbrev til folk som ikke får noen nyhetsbrev","إرسال الرسائل الإخبارية الوحيدة للناس الذين لم يتلقوا أي النشرات الإخبارية","어떤 뉴스 레터를받지 못한 사람들에게만 뉴스 레터를 보내","任意のニュースレターを受信しなかった人にだけニュースレターを送ります","שלח עלונים רק לאנשים שלא קיבלו כל עלונים","Skicka bara nyhetsbrev till folk som inte fick några nyhetsbrev","Zaslat pouze zpravodaje k lidem, kteří nedostávali žádný bulletin","Отправить только бюллетени для людей, которые не получали каких-либо бюллетени","Magpadala lamang ng mga newsletter sa mga tao na hindi nakatanggap ng anumang mga newsletter","Ipadala lamang Newsletter ngadto sa mga tawo nga wala makadawat sa bisan unsa nga mga Newsletter"
